t,angle,u
3.31,14675.026637406147,-32369.335049703717
3.32,15005.887234844144,-33086.90407172524
3.33,15344.082431864555,-33820.38044406826
3.34,15689.774837137087,-34570.11683393323
3.35,16043.130664341841,-35336.473726999495
3.36,16404.31981207863,-36119.81960073122
3.37,16773.515945547624,-36920.531101525135
3.38,17150.89658004062,-37738.9932257852
3.39,17536.64316628304,-38575.59950501118
3.4,17930.94117766778,-39430.752194990295
3.41,18333.980199422753,-40304.86246918297
3.42,18745.954019755092,-41198.350616395226
3.43,19167.06072301581,-42111.64624283358
3.44,19597.50278492969,-43045.18847863879
3.45,20037.487169936267,-43999.42618899818
3.46,20487.225430688635,-44974.818189938305
3.47,20946.933809758,-45971.83346890096
3.48,21416.833343592814,-46990.95141020965
3.49,21897.14996878255,-48032.66202553377
3.5,22388.114630677173,-49097.466189462444
3.51,22889.963394414575,-50185.87588030059
3.52,23402.93755840932,-51298.41442620317
3.53,23927.283770357335,-52435.6167567661
3.54,24463.25414581227,-53598.02966019481
3.55,25011.106389390603,-54786.212046173874
3.56,25571.103918663743,-56000.73521456455
3.57,26143.515990796714,-57242.18313005888
3.58,26728.617831994336,-58511.15270292314
3.59,27326.690769817127,-59808.25407596489
3.6,27938.022368430586,-61134.11091786217
3.61,28562.906566852853,-62489.360722995756
3.62,29201.643820267276,-63874.65511792838
3.63,29854.541244467808,-65290.660174678786
3.64,30521.91276350669,-66738.05673094094
3.65,31204.079260615472,-68217.54071740221
3.66,31901.36873247186,-69729.82349231876
3.67,32614.116446886666,-71275.6321835076
3.68,33342.66510398663,-72855.7100379214
3.69,34087.36500097061,-74470.81677897286
3.7,34848.57420051848,-76121.72897178106
3.71,35626.65870293351,-77809.24039651566
3.72,36421.99262210126,-79534.16243001736
3.73,37234.95836534936,-81297.32443587996
3.74,38065.946817294884,-83099.57416317976
3.75,38915.35752776752,-84941.778154045
3.76,39783.598903899074,-86824.82216026139
3.77,40671.08840647156,-88749.6115691137
3.78,41578.25275061834,-90717.07183866795
3.79,42505.52811097485,-92728.1489427045
3.8,43453.36033137747,-94783.80982551476
3.81,44422.20513921151,-96885.04286678121
3.82,45412.52836451119,-99032.85835676339
3.83,46424.80616391723,-101228.2889820192
3.84,47459.525249599435,-103472.39032189484
3.85,48517.18312325465,-105766.24135602092
3.86,49598.288315292346,-108110.9449830614
3.87,50703.360629323055,-110507.62855096169
3.88,51832.93139206706,-112957.4443989532
3.89,52987.5437088036,-115461.57041157418
3.9,54167.75272448338,-118021.21058497256
3.91,55374.12589062996,-120637.59560576454
3.92,56607.24323815835,-123311.98344272579
3.93,57867.697656241944,-126045.65995160057
3.94,59156.095177361996,-128839.93949331983
3.95,60473.05526867659,-131696.16556592452
3.96,61819.211129849245,-134615.71145049907
3.97,63195.209997480364,-137599.98087142507
3.98,64601.713456287885,-140650.40867127193
3.99,66039.3977571868,-143768.46150065097
4.0,67508.95414242044,-146955.63852336275
4.01,69011.0891778998,-150213.47213717722
4.02,70546.52509291093,-153543.5287105933
4.03,72116.0001273534,-156947.40933593313
4.04,73720.26888667705,-160426.75059913148
4.05,75360.1027046876,-163983.22536659057
4.06,77036.29001439555,-167618.5435894807
4.07,78749.63672708668,-171334.4531258706
4.08,80500.9666197964,-175132.74058108462
4.09,82291.12173137435,-179015.23216669
4.1,84120.96276732958,-182983.7945785283
4.11,85991.36951365089,-187040.33589421137
4.12,87903.24125980157,-191186.80649051492
4.13,89857.49723109158,-195425.19998110988
4.14,91855.07703063532,-199757.55417508326
4.15,93896.94109110741,-204185.9520567081
4.16,95984.0711365135,-208712.52278693567
4.17,98117.47065419855,-213339.442727088
4.18,100298.16537731898,-218068.93648524754
4.19,102527.20377801117,-222903.2779858422
4.2,104805.65757149314,-227844.7915629443
4.21,107134.62223134174,-232895.85307780595
4.22,109515.21751619333,-238058.89106116947
4.23,111948.588008121,-243336.38788090253
4.24,114435.90366294725,-248730.8809355188
4.25,116978.36037275664,-254244.963874157
4.26,119577.18054087898,-259881.2878436071
4.27,122233.61366961949,-265642.5627629814
4.28,124948.93696101836,-271531.5586266441
4.29,127724.45593092874,-277551.1068360255
4.3,130561.5050367083,-283704.1015609613
4.31,133461.44831882618,-289993.5011312122
4.32,136425.68005669376,-296422.3294588311
4.33,139455.62543903466,-302993.6774920633
4.34,142552.74124911625,-309710.7047014783
4.35,145718.51656517197,-316576.64059904846
4.36,148954.4734763515,-323594.78629090113
4.37,152262.16781454274,-330768.5160644983
4.38,155643.1899024176,-338101.2790109979
4.39,159099.16531806113,-345596.6006835837
4.4,162631.75567655187,-353258.08479255764
4.41,166242.65942886882,-361089.4149380111
4.42,169933.6126785095,-369094.3563809072
